X1,title post,body post,body comment
6,Dismissed by my psychiatrist of 3 years for what I think is a BS reason and I'm not sure if I should say or do something... just lost and need advice (long but please read bc this is causing my anxiety to spike and I'd like reassurance),"Fired by my psychiatrist but is this a valid reason? (Long post but I desperately need advice!!)

I have been seeing this psychiatrist (well, actually his PA for the past 2 years) and was suddenly dismissed 2 weeks ago. 

I got a letter from them in the mail stating:
""Due to the complexity of your case in treatment, we will no longer be able to continue your treatment here at...”

Is this a valid reason for dismissal? 

I suffer from drug-resistant depression (it was diagnosed after seeing a previous psychiatrist for 8 years, but unfortunately she closed her practice), bipolar 2, borderline personality disorder, and severe anxiety. I also have fibromyalgia (which is commonly associated with mental illness) and arthritis, for which I take Tramadol.

They complained about me ""complaining and bad mouthing them” back in December and the only person to whom I complain was their office manager. Then they said that I was ""non-compliant” because I didn't have bloodwork done on ONE occasion, partly because of my severe anxiety about going out when the lockdown began and also because I was very ill for a week... so they told me after 2 weeks of not having my lithium levels tested, after having gone every other time I was asked and taking a drug test before every appointment, that I was non-compliant. Well, after I was well, I called their office and told them that I assumed I had a refill on my lithium from my last appointment, but didn't, and was out so I had no way to have my levels tested. The rather argumentative receptionist told me that my PA wasn't going to call in a refill because she wasn't sure if I needed my dosage adjusted (the same dose I have been on for 2 years). Also, from our previous appointment, I was under the impression that she was going to take me off lithium in order to try my on another drug I had taken a year prior but that my insurance stopped covering, but I found out that I qualified for free medication and so we were going to try me on that as the lithium has frankly never worked. 

So, I've been without any lithium for 2 weeks. And it has been rough. I had one day last week where I was very suicidal but didn't feel as though I could call them to get me into a local hospital here because of my dismissal but also because back in February, the PA commented about how I had been ""too” suicidal as of late..: but not in an effort to help me with the problem, but more of as a threat or some sort of warning which I took as, if I continued to have any suicidal episodes, they would dismiss me. It was also during this session that she said my case was ""too complicated.”

I feel as though they are punishing me for my mental illness... and is that even fair for a psychiatrist to do??

I am trying to find a new psychiatrist but it has been difficult as a lot of doctors in my area (we have a very high number of coronavirus cases) aren't accepting new patients until the situation improves. 

I have my final appointment over the phone in 2 hours. I am assuming that she will prescribe me 30 days worth of meds to last me until I'm able to find a new psychiatrist and will last me until I can see them (as you know, new patient appts are always a longer wait than appts for existing patients).

Do I have any legal recourse here? I'm not looking to sue, I would just like to report them to the state medical board. I feel entirely mistreated, because of how they holding my mental illnesses against me and how they apparently aren't skilled enough to handle my case while none of the doctors I've seen over the past 15 years (I relocated once, and have had several doctors close their practices, and was poorly mistreated by another (he wanted to take me off my Ativan immediately, no tapering despite a long history of taking a rather low dose of benzos, and put me on Vistaril, which has never worked despite my trying it on numerous occasions!), but I've never been dismissed. 

I apologize for the long post but I just feel wronged and don't know what I should do.",does your school have student counselor you can make an appointment there must be some student service you can turn to for help since youre studying economics and law public speaking will likely be an important part of your future jobif you cannot get enough assistance from school definitely look for professional help its already a great step to acknowledge your issues and talk it out but do check with your school first and use the service since its likely included in your tuitionid say you have a good evaluation of your current status and it seems you still have it under control even though you feel like youre about to lose it so definitely consult with someone and dont let the anxiety consume you more all the worries and burdens youve been carrying its not your fault and you should be proud that youve been handling it by yourself so far its time to let it out and get helpalso feel free to chat or vent here and let us know your progress
60,I keep deleting every single comment I make on a post,I don't know why I keep doing this but a few minutes ago I was trying to give someone advice but got stuck for 3 minutes trying to see if everything I wrote was perfect and had no mistakes. I really want to comment on posts without having to delete the comment 5000 times.,hello i would like to set an appt are you accepting new patients they will ask for name birthdate address and insurance card they will probably send you a few forms through email if this is a zoomonline appt if not you will either be mailed those forms or fill them out in the office when you arrive being honest up front can help also hi there im a bit anxious about setting an appointment but i would like help to do so
65,For those who have gotten therapy...,"I am thinking about getting therapy because I have been having random panic attacks out of nowhere and it feels like they are ruining my life.  They are so bad that I throw up, sweat like crazy, and just feel like I'm dying.  I need them to stop, but I don't know if therapy will help or not? If anyone has ever been to therapy for something similar, did it actually help?",your employer may also have an employee assistance program that provides therapy this year i started with cognitive processing therapy cpt after trying talk therapy cognitive behavioral therapy cbt with the cpt theres a set sessions which i was highly skeptical of with tools you work through and have long past it npr i think did a episode on cpt where she did a session a day to get through the days for me it worked combined with assistance with medication and has helped me work through quite a lot that the other types that didnt for meyou can also reach out to a local medical school and see if they have a department of psychiatry that may offer outpatient adult services most have switched to telemedicine so you dont have to be in person for them
4,I can't sleep because I'm scared of being schizophrenic. How do I stop these thoughts?,"Let me start off by saying I have never had any hallucinations or voices in my head.

My dad's dad was apparently schizophrenic and I wish they never told me. My cousin (grandchild of my dad's grandma's sister) on my dad's side is also schizophrenic, she seemed normal to me when I was younger and I looked up to her. Now she's not functioning normally and I'm scared.

I have used drugs before but not for years, but I do smoke once in a blue moon. I suffer from really bad anxiety. I've been lacking motivation in school and stuff in general.

It's 5:30 in the morning and I can't sleep because I'm 22 years old and it comes in the late twenties for females. I am so scared, how do I stop worrying about this? I really want to sleep now but I also know even when I do sleep that I will still be thinking about this.

Someone please help me. :(",if you think you would benefit from a counsellor or psychiatrist then i certainly encourage you to check those resources out whether thats in person or remotely beyond that ive been having a lot of night time anxiety as well where it feels like i cant shut my brain off and my body just wants to move and jiggle ive been taking melatonin which is just an over the counter sleep aid it doesnt work super well for me but others swear by it have you been exercising i find when i get a good workout in my brain respons really well to that and i often sleep a bit better that night then theres always meditation and journalling your thoughts those are great tools as well im not sure what youre already doing to deal with anxiety and nervousness so i dont exactly know what to suggest your you maybe if part of the anxiety is your thoughts going too fast for you to be able to control try to write them all down itll force you to slow down just a bit and maybe reflect on them
23,Morning Anxiety,Good morning everyone. I've been battling with anxiety for about a year now. It's progressively gotten worse and now I hate waking up because my anxiety is at an all time high in the mornings... any suggestions??,have you tried zofran its a prescription medication often given to cancer patients doing chemoradiation my general doctor just a regular ol health doctor prescribes it to me and it helps immensely with the nausea i get from anxiety
17,Is there any way to stop an anxiety attack almost instantly?,"I don't want to live this way, it's getting worse :(",honestly the best thing you can do is accept it and feel it pass over you out of curiosity what recently changed in your life
26,I always feel like I'm going to die,"Hey everyone, I wasn't sure where to go but I need to vent or get some advice. I have had depression and chronic anxiety since I was about the age of 11. I've managed to keep it under control for a good portion of my life but recently I feel like I've lost control of everything. My father called me last week, telling me he wanted to end his own life and I also found out my best friend from high school passed away which I think may have triggered it. 
I've started having severe panic attacks to where I physically feel like I'm dying, my chest gets heavy, I start to tingle or go numb, can't catch my breath and I'm already asthmatic (and I hyper focus on this). Im definitely over using my rescue inhaler. I'm so worried something is actually wrong with me. All I do is cry. I feel Ike I'm turning into a hypochondriac. When this happen I feel completely disconnected and out of touch. 
I saw my PCP on Thursday last week and changed my meds from Prozac to Wellbutrin, Ativan and Symbicort. The Ativan helps a lot when they happen, but it's not something I want to be dependent on. She wants to do some labs in a few weeks and do some blood work to check my thyroid which could be a huge contributing factor if that's the case. 
I don't even want to leave my house some days because I'm afraid it's going to happen out in public, I have to force myself to go do things. I don't think my friends and family know the severity of it. I feel so lost and alone. 
I feel like this has come out of no where and I don't know how to stop it.",remind yourself that teeth go a lot further down than what you can see you could look up xrays of teethjaws to reassure your brain that your teeth are very much attached even if they feel squishy right now also if youre new in the braces process it may help to know that in my experience at least its a very cyclical feeling you get a new wire and your gums feel squishy and painful for a bit but then your mouth starts to feel normal again by the time you go for your next appointment it always goes back to normal
13,Working out/Exercising despite anxiety,"A majority of my anxiety comes from health stuff, like I'll get a heart palpitation randomly and think I'm gonna have a heart attack, or feel tired and think I'm gonna just pass out. I want to exercise and start working out, but I know, or think perhaps, that the increased heart rate will cause me to be anxious. Anyone have any tips on dealing with this? I've been to a doctor and have a clean bill of health recently so I know it's all in my head.",f google a couple weeks ago i thought i had having a blood clot in my leg and then i was worried about it getting worse in reality it was just my anxiety making a part of leg hurt had a huge anxiety attack all the pain went away currently have a super tight chest most likely from anxiety but worried its my heart therefore causing a circle of anxiety i really need to quit googling things about my health
47,My parents go through my phone while I sleep,"Hey guys, I'm not sure if this is okay for me to post because I've never really been here beefore but what's going on has made me extremely anxious and I'm staying up until 4am because I'm petrified to sleep and I'm hoping someone might have some answers for me


So basically my door has a lock on it but my parents have a key too it, they've always been high preaching people with privacy and never lying to me and for the past year I've been telling them how I think someone has been accessing my phone throughout the night while I slept but they basically just called me crazy, for a long time I thought that it was a stranger but now, even with no evidence I believe it's my parents, recently they went through my brothers wallet looking for condoms (he's 18) while he wasn't around and made me swear not to tell him, obviously I lost trust iny parents from that day on but my friend agreed with me, she also wouldn't put it past my parents to do this, as I'm only 17 I know I can't do anything legally but the weird noises and random stuff on my phone stopped for a few months but around a month ago they started again, just after I got my P plates and became more individual about my life, two nights ago I fell asleep at around 4am and woke up at 2pm ish, when I turned on my phone it opened straight to a covid 19 website which I hadn't searched in well over a month, this shows that I'm not crazy, someone has been going on my phone while I sleep and the only people with motive are my over protective helicopter parents, I've since taken my finger print ID off so that they need my password, any ideas on what else I could do? I really want to get back to falling asleep and feeling safe in my own house. The only thing that has me baffled is why they would search up the covid website unless they were going through my history and accidentally clicked it? They're not tech savvy in the slightest but they're not dumb enough to leave a website open for me to find",i would suggest finding other methods of relaxing yourself that dont involve your phone yoga and stretching listening to music breathing exercises taking a showerbath etc etc itll be different for everyone it might also help to put your phone somewhere where you cant use it in bed like plugging it in across the room thatll help you wake up easier too haha
57,I am very stressed out due to my university entrance exam and I had a huge miscomm with my girlfriend.,"Due to the coronavirus breakout, everything is messed up around the world. During this period, my university entrance exam changed a lot and I have high hopes and dreams. I have a girlfriend that I love and we had a huge fight yesterday. Before this, I already felt like a failure and sometimes had suicidal thoughts. After this fight, I feel very depressed and also anxious about everything. I can feel that my mental health is getting worst everyday. I am trying to control it but last incident broke me. I really dont know what to do.",from experience if everything is running smoothly that she is reassuring you often and that there is no problems in the relationship then you are good a relationship is all about trust mainly when it comes to long distance relationship if you trust her then dont worry and dont overthink too much
